,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,zone11,out
zone1,0,0,0,0,0,0,0,0,0,0,0,202.861794
zone2,1.700372093,0,0,0,0,0,0,0,0,0,0,3502.578738
zone3,0,1.773723588,0,0,0,0,0,0,0,0,0,2945.451827
zone4,0,0,0.556098339,0,0,0,0,0,0,0,0,1532.541528
zone5,0,0,0,0,0,0,0,0,0,0,0,203.041196
zone6,0,0,0,0,0,0,0,0,0,0,0,203.041196
zone7,0,0,0,0,2.058936877,2.058936877,0,0,0,0,0,0
zone8,0,0,0,0,0,0,3.724624585,0,0,0,3.331734219,1131.906977
zone9,0,0,0,0,0,0,0,8.004318937,0,0,0,9269.940199
zone10,0,0,0,0,0,0,0.393165449,0,0,0,0,2502.239203
zone11,0,0,0,0,0,0,0,0,0,3.331734219,0,0
out,201.1634551,3502.512957,2946.677741,1533.109635,200.9840532,200.9840532,0,1130.950166,9277.923588,2499.30897,0,0
