category,subname,rad_type,R,G,B,spec,rough
plaster,-,plastic,0.91,0.91,0.91,0,0
print,-,plastic,0.75,0.75,0.75,0,0
print,white,plastic,0.75,0.75,0.75,0,0
print,moter,plastic,0.32,0.32,0.32,0,0
print,yellow,plastic,0.7,0.7,0.7,0,0
print,brown,plastic,0.57,0.57,0.57,0,0
brick,-,plastic,0.23,0.23,0.23,0,0
brick,grey,plastic,0.23,0.23,0.23,0,0
brick,red,plastic,0.33,0.33,0.33,0,0
tile,-,plastic,0.8,0.8,0.8,0,0
tile,white,plastic,0.8,0.8,0.8,0,0
tile,yellow,plastic,0.62,0.62,0.62,0,0
tile,pink,plastic,0.65,0.65,0.65,0,0
tile,blue,plastic,0.55,0.55,0.55,0,0
tile,black,plastic,0.08,0.08,0.08,0,0
tile,ceramic,plastic,0.59,0.59,0.59,0,0
cladding,-,plastic,0.58,0.58,0.58,0,0
cladding,yellow,plastic,0.3,0.3,0.3,0,0
cladding,light,plastic,0.36,0.36,0.36,0,0
cladding,dark,plastic,0.12,0.12,0.12,0,0
cladding,siding,plastic,0.58,0.58,0.58,0,0
metal,-,plastic,0.72,0.72,0.72,0,0
metal,ground,plastic,0.15,0.15,0.15,0,0
aluminium,-,plastic,0.83,0.83,0.83,0,0
aluminium,white,plastic,0.87,0.87,0.87,0,0
aluminium,mirror,plastic,0.89,0.89,0.89,0,0
aluminium,gold,plastic,0.45,0.45,0.45,0,0
stone,-,plastic,0.6,0.6,0.6,0,0
stone,marble,plastic,0.6,0.6,0.6,0,0
stone,terrazzo,plastic,0.7,0.7,0.7,0,0
stone,red,plastic,0.32,0.32,0.32,0,0
stone,black,plastic,0.08,0.08,0.08,0,0
stone,dark_grey,plastic,0.1,0.1,0.1,0,0
stone,vein_grey,plastic,0.39,0.39,0.39,0,0
stone,light_grey,plastic,0.52,0.52,0.52,0,0
concrete,-,plastic,0.2,0.2,0.2,0,0
concrete,asplalt,plastic,0.2,0.2,0.2,0,0
glazing,-,glass,0.78,0.78,0.78,0,0
glazing,safety,glass,0.84,0.84,0.84,0,0
glazing,translucent,glass,0.55,0.55,0.55,0,0
glazing,gold,glass,0.1,0.1,0.1,0,0
glazing,grey,glass,0.14,0.14,0.14,0,0
glazing,blue,glass,0.2,0.2,0.2,0,0
glazing,green,glass,0.08,0.08,0.08,0,0
glazing,corrugated,glass,0.62,0.62,0.62,0,0
glazing,fencing,glass,0.89,0.89,0.89,0,0
default,wall,plastic,0.6,0.6,0.6,0,0
default,roof,plastic,0.75,0.75,0.75,0,0
default,floor,plastic,0.3,0.3,0.3,0,0
default,window,glass,0.78,0.78,0.78,0,0
